"RL21001: RAHVASTIK, 31. DETSEMBER 2021 | Aasta, Sugu, Elukoht ning Vanus"

"Aasta","Sugu","Elukoht","Vanus kokku"
"2021","Mehed ja naised","..Mustvee vald",4982
"2021","Mehed ja naised","....Mustvee linn asustusüksusena",1159
"2021","Mehed ja naised","....Mustvee vald, v.a Mustvee linn asustusüksusena",3823
"2021","Mehed ja naised","..Põltsamaa vald",9690
"2021","Mehed ja naised","....Põltsamaa linn asustusüksusena",4150
"2021","Mehed ja naised","....Põltsamaa vald, v.a Põltsamaa linn asustusüksusena",5540
"2021","Mehed ja naised","JÄRVA MAAKOND",29697
"2021","Mehed ja naised","..Järva maakond: linnaline asustuspiirkond",7928
"2021","Mehed ja naised","..Järva maakond: väikelinnaline asustuspiirkond",6173
"2021","Mehed ja naised","..Järva maakond: maaline asustuspiirkond",15596
"2021","Mehed ja naised","..Järva vald",8632
"2021","Mehed ja naised","..Paide linn",10439
"2021","Mehed ja naised","....Paide linn asustusüksusena",7926
"2021","Mehed ja naised","....Paide linn, v.a Paide linn asustusüksusena",2513
"2021","Mehed ja naised","..Türi vald",10626
"2021","Mehed ja naised","....Türi linn asustusüksusena",5129
"2021","Mehed ja naised","....Türi vald, v.a Türi linn asustusüksusena",5497
"2021","Mehed ja naised","LÄÄNE MAAKOND",20229
"2021","Mehed ja naised","..Lääne maakond: linnaline asustuspiirkond",9636
"2021","Mehed ja naised","..Lääne maakond: väikelinnaline asustuspiirkond",1456
"2021","Mehed ja naised","..Lääne maakond: maaline asustuspiirkond",9137
"2021","Mehed ja naised","..Haapsalu linn",13132
"2021","Mehed ja naised","....Haapsalu linn asustusüksusena",9595
"2021","Mehed ja naised","....Haapsalu linn, v.a Haapsalu linn asustusüksusena",3537
"2021","Mehed ja naised","..Lääne-Nigula vald",6796
"2021","Mehed ja naised","..Vormsi vald",301
"2021","Mehed ja naised","LÄÄNE-VIRU MAAKOND",58709
"2021","Mehed ja naised","..Lääne-Viru maakond: linnaline asustuspiirkond",15141
"2021","Mehed ja naised","..Lääne-Viru maakond: väikelinnaline asustuspiirkond",7485
"2021","Mehed ja naised","..Lääne-Viru maakond: maaline asustuspiirkond",36083
"2021","Mehed ja naised","..Haljala vald",4090
"2021","Mehed ja naised","..Kadrina vald",4838
"2021","Mehed ja naised","..Rakvere linn",15141
"2021","Mehed ja naised","..Rakvere vald",5745
"2021","Mehed ja naised","..Tapa vald",10901
"2021","Mehed ja naised","....Tamsalu linn asustusüksusena",2415
"2021","Mehed ja naised","....Tapa linn asustusüksusena",5383
"2021","Mehed ja naised","....Tapa vald, v.a Tamsalu ja Tapa linn asustusüksusena",3103
"2021","Mehed ja naised","..Vinni vald",6683
"2021","Mehed ja naised","..Viru-Nigula vald",5647
"2021","Mehed ja naised","....Kunda linn asustusüksusena",2997
"2021","Mehed ja naised","....Viru-Nigula vald, v.a Kunda linn asustusüksusena",2650
"2021","Mehed ja naised","..Väike-Maarja vald",5664
"2021","Mehed ja naised","PÕLVA MAAKOND",23991
"2021","Mehed ja naised","..Põlva maakond: linnaline asustuspiirkond",0
"2021","Mehed ja naised","..Põlva maakond: väikelinnaline asustuspiirkond",5996
"2021","Mehed ja naised","..Põlva maakond: maaline asustuspiirkond",17995
"2021","Mehed ja naised","..Kanepi vald",4481
"2021","Mehed ja naised","..Põlva vald",13395
"2021","Mehed ja naised","....Põlva linn asustusüksusena",5454
